Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.00,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.25,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.25,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.25,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.50,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.50,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.50,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.75,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.75,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-4.75,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.00,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.00,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.00,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.25,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.25,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.25,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.50,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.50,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.50,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.75,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.75,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-5.75,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-6.00,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-6.00,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,-6.00,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.00,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.00,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.00,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.25,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.25,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.25,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.50,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.50,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.50,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.75,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.75,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,0.75,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.00,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.00,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.00,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.25,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.25,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.25,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.50,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.50,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.50,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.75,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.75,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,1.75,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.00,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.00,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.00,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.25,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.25,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.25,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.50,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.50,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.50,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.75,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.75,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,2.75,,,HI,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,3.00,,,LO,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,3.00,,,MED,8.5,14.1
Alcon Dailies Total1 Multifocal,Multifocal,Daily,3.00,,,HI,8.5,14.1
